structure_wikidata,protonated_emass,rt,structure_nameTraditional,structure_molecular_formula
http://www.wikidata.org/entity/Q422590,341.3414066,0,Docosanoic acid,C22H44O2
http://www.wikidata.org/entity/Q10442124,341.3414066,0,Butyl stearate,C22H44O2
http://www.wikidata.org/entity/Q105035165,341.2686356,0,"(3R)-5-[(1S,2R,4aR,5S,6R,8aR)-5,6-dihydroxy-1,2,4a,5-tetramethyl-3,4,6,7,8,8a-hexahydro-2H-naphthalen-1-yl]-3-methylpentanoic acid",C20H36O4
http://www.wikidata.org/entity/Q105148571,341.2686356,0,"(3S)-5-[(1S,2R,3R,4aR,8aS)-2,3-dihydroxy-2,5,5,8a-tetramethyl-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]-3-methylpentanoic acid",C20H36O4
http://www.wikidata.org/entity/Q111241310,341.2686356,0,"5-(4,5-dihydroxy-3-methylidenepentyl)-1,5,6,8a-tetramethyl-3,4,4a,6,7,8-hexahydro-2H-naphthalene-1,2-diol",C20H36O4
http://www.wikidata.org/entity/Q105157892,341.2686356,0,"(3R)-5-[(1S,2R,4aR,5R,8aR)-5-hydroxy-5-(hydroxymethyl)-1,2,4a-trimethyl-3,4,6,7,8,8a-hexahydro-2H-naphthalen-1-yl]-3-methylpentanoic acid",C20H36O4
http://www.wikidata.org/entity/Q105157949,341.2322501,0,[(4S)-6-acetyloxy-4-(2-hydroxypropan-2-yl)-7-methylidenecyclodecyl]methyl acetate,C19H32O5
http://www.wikidata.org/entity/Q105290132,341.2111208,0,"(8S,9S,10R,13S,14S,17E)-17-(1-methoxyethylidene)-10,13-dimethyl-6,7,8,9,11,12,14,15-octahydrocyclopenta[a]phenanthrene-3,16-dione",C22H28O3
http://www.wikidata.org/entity/Q105380134,341.1747352,0,"5-Methoxy-2,8,8-trimethyl-6-(3-methylbut-2-enyl)pyrano[2,3-h]chromen-4-one",C21H24O4
http://www.wikidata.org/entity/Q110193975,341.1594791,0,Nebrodenside A,C17H24O7
http://www.wikidata.org/entity/Q105186163,341.1495831,0,"(2R)-3-methyl-1-[4-(2-pyridin-3-yl-1,3-oxazol-5-yl)phenoxy]butane-2,3-diol",C19H20N2O4
http://www.wikidata.org/entity/Q115950231,341.1383497,0,"(S)-5,7-Dihydroxy-2-(4-hydroxy-3-(3-methylbut-2-en-1-yl)phenyl)chroman-4-one",C20H20O5
http://www.wikidata.org/entity/Q27135053,341.1383497,0,Archangelenone,C20H20O5
http://www.wikidata.org/entity/Q105034980,341.1383497,0,"(2S)-5-hydroxy-2-(4-hydroxyphenyl)-7-(3-methylbut-2-enoxy)-2,3-dihydrochromen-4-one",C20H20O5
http://www.wikidata.org/entity/Q105123645,341.1383497,0,(5-Methoxy-2-oxobenzo[h]chromen-8-yl)methyl 3-methylbutanoate,C20H20O5
http://www.wikidata.org/entity/Q4644281,341.1383497,0,8-Prenylnaringenin,C20H20O5
http://www.wikidata.org/entity/Q105165366,341.1383497,0,NA,C20H20O5
http://www.wikidata.org/entity/Q105165367,341.1383497,0,NA,C20H20O5
http://www.wikidata.org/entity/Q115950296,341.1383497,0,NA,C20H20O5
http://www.wikidata.org/entity/Q105287419,341.1383497,0,"(2S)-5,7-dihydroxy-2-[4-hydroxy-3-(3-methylbut-3-enyl)phenyl]-2,3-dihydrochromen-4-one",C20H20O5
http://www.wikidata.org/entity/Q74417333,341.1230936,0,Coniferaldehyde glucoside,C16H20O8
http://www.wikidata.org/entity/Q104995837,341.1131976,0,Picrasidine E,C18H16N2O5
http://www.wikidata.org/entity/Q104995838,341.1131976,0,"methyl 4-(4,8-dimethoxy-9H-pyrido[3,4-b]indol-1-yl)-4-oxobut-2-enoate",C18H16N2O5
http://www.wikidata.org/entity/Q105154713,341.1019642,0,Excavacoumarin B,C19H16O6
http://www.wikidata.org/entity/Q105115950,341.0867081,0,5-Hydroxy-7-(beta-D-glucopyranosyloxy)chromone,C15H16O9
http://www.wikidata.org/entity/Q105164544,341.0867081,0,Dauroside D,C15H16O9
http://www.wikidata.org/entity/Q376432,341.0867081,0,Esculin,C15H16O9
http://www.wikidata.org/entity/Q27149864,340.2634907,0,Evocarpine,C23H33NO
http://www.wikidata.org/entity/Q105034643,340.2634907,0,(Z)-1-Methyl-2-(tridec-8-en-1-yl)quinolin-4(1H)-one,C23H33NO
